word,freq
faust,10
neben,10
schaffen,10
drein,10
hatt,10
hätte,10
können,10
brauch,9
mögen,9
luna,9
zug,9
zeichen,9
glaubt,9
bahn,9
genommen,9
nachbar,9
rede,9
entstehn,9
engen,9
völlig,9
leid,9
dürft,9
herum,9
gesellt,9
jammer,9
erfahren,9
fängt,9
eurer,9
fühlen,9
singen,9
jugend,9
gespenster,9
sie's,9
nehmt,9
hierher,9
wolken,9
verflucht,9
schwebt,9
heitern,9
graus,9
liegen,9
fall,9
hinten,9
flor,9
droht,9
trinke,9
innern,9
gesellschaft,9
künste,9
knecht,9
verstand,9
orte,9
element,9
fasse,9
helden,9
eigner,9
fahren,9
trennen,9
hinab,9
breite,9
lebendig,9
hoffnung,9
ihnen,9
hügel,9
diener,9
geboren,9
grad,9
tür,9
schoß,9
göttern,9
gewohnt,9
händen,9
garten,9
grauen,9
natürlich,9
länger,9
gewonnen,9
mancher,9
fortan,9
engel,9
sorgen,9
etwa,9
ruhn,9
kreuz,9
hinan,9
hoffen,9
stürzen,9
hinweg,9
gewesen,9
setzt,9
deucht,9
leute,9
schöner,9
gab,9
locken,9
treiben,9
held,9
wißt,8
stab,8
maß,8
qual,8
entzückt,8
trank,8
ding,8
entzücken,8
heil'gen,8
worten,8
kund,8
sitzen,8
wandeln,8
drinnen,8
ketten,8
folge,8
erkennen,8
tust,8
gesang,8
ungeheuer,8
folgt,8
eile,8
immerfort,8
langer,8
geschah,8
weichen,8
haar,8
männer,8
unten,8
loben,8
fürsten,8
getrost,8
möglich,8
waffen,8
indessen,8
bitte,8
reine,8
schelten,8
halbe,8
vernommen,8
quillt,8
ergetzen,8
entbehren,8
wunsch,8
rette,8
hatte,8
strebt,8
schwert,8
geht's,8
gerettet,8
wahrlich,8
flut,8
doppelt,8
hoher,8
narr,8
gerne,8
tinke,8
vergessen,8
war's,8
berge,8
zog,8
herrliche,8
heilig,8
weisheit,8
übel,8
baum,8
trifft,8
hexen,8
dünkt,8
voraus,8
beglückt,8
ergetzt,8
gast,8
laut,8
reinen,8
schelm,8
geblieben,8
riegel,8
juchhe,8
lehren,8
wider,8
verschwunden,8
lesen,8
scharen,8
feind,8
gang,8
pudel,8
erlangen,8
geduld,8
kenn,8
tanz,8
erhebt,8
wahn,8
paßt,8
bequem,8
lieder,8
verfluchte,8
erreichen,8
versteht,8
fragen,8
stock,8
dafür,8
fürchte,8
man's,8
blicken,8
kleiner,8
quelle,8
höhe,8
soll's,8
springt,8
nacken,8
ruf,8
fließen,8
trieb,8
neuer,8
geheimnis,8
jedoch,8
feste,8
mich's,8
zart,8
finde,8
narren,8
umsonst,8
schwarz,7
blickt,7
düstern,7
steigen,7
böse,7
gehe,7
wirkt,7
geld,7
weine,7
rot,7
entfernt,7
meere,7
nimmer,7
schlacht,7
freien,7
edle,7
lachen,7
breiten,7
frische,7
würden,7
betrogen,7
grab,7
genuß,7
offen,7
sachen,7
bring,7
last,7
schützt,7
stille,7
munde,7
bleibst,7
ihr's,7
ums,7
wär's,7
hängt,7
harnisch,7
grünen,7
vier,7
gnaden,7
scheinen,7
mitte,7
toren,7
liebsten,7
unterm,7
elemente,7
möchten,7
zunächst,7
toben,7
gelegenheit,7
jetzo,7
bedenkt,7
faß,7
verlieren,7
süße,7
schaff,7
gipfel,7
lippen,7
manches,7
kräfte,7
schloß,7
machst,7
schlagen,7
verderben,7
possen,7
schatten,7
gräßlich,7
wissenschaft,7
darfst,7
wollten,7
reihen,7
meint,7
knabe,7
hinüber,7
kaisers,7
fliegen,7
gesehen,7
menelas,7
sicher,7
vorüber,7
kurze,7
dinge,7
klauen,7
blitz,7
höchste,7
gnädig,7
leuten,7
türe,7
freiheit,7
frechen,7
hieher,7
schluß,7
sprichst,7
flieht,7
gewicht,7
gelingen,7
wußt,7
schlug,7
helle,7
lande,7
papier,7
grade,7
gabst,7
kalt,7
dunst,7
stück,7
schweige,7
blatt,7
glüht,7
pracht,7
tiefste,7
greifen,7
kette,7
quer,7
ritter,7
geiste,7
stufen,7
schwankt,7
gemacht,7
singt,7
jenes,7
bisher,7
grimmig,7
stehst,7
tiefen,7
gespenst,7
sieg,7
verdient,7
pan,7
dienst,7
will's,7
kehren,7
buch,7
bequemen,7
laub,7
ewiger,7
schien,7
schwarzen,7
einsamkeit,7
leichten,7
leuchtend,7
grausen,7
unsres,7
streit,7
hübsch,7
soldat,7
fremden,7
geistern,7
helena,7
poeten,7
tönt,7
woher,7
fein,7
wilde,7
heinrich,7
schrein,7
verlangt,7
schluchten,7
durchdrungen,6
saß,6
zeitvertreib,6
glaube,6
freud,6
paris,6
kühnen,6
beten,6
meiden,6
steckt,6
gesteh,6
geh,6
schnelle,6
bitt,6
schmaus,6
bang,6
blumen,6
blocksberg,6
höhen,6
hohlen,6
wendet,6
gehst,6
gebilde,6
bunte,6
bäche,6
aug,6
außen,6
süßen,6
fremde,6
saal,6
altes,6
wenden,6
manch,6
sprechen,6
nötig,6
vieles,6
wenn's,6
gleichen,6
gelten,6
böser,6
rote,6
bedenklich,6
knechte,6
zweiten,6
stimme,6
trübe,6
warst,6
lebe,6
geraten,6
gebild,6
sache,6
vollen,6
gelungen,6
befehlen,6
gatten,6
wirken,6
hörst,6
entgegen,6
vollkommen,6
erscheint,6
toll,6
wilden,6
wahr,6
indes,6
tränen,6
pforte,6
finsternis,6
hinterdrein,6
bäume,6
dumm,6
nennt,6
gruft,6
freuen,6
zugrunde,6
wo's,6
links,6
wurden,6
zeig,6
schuld,6
gewöhnlich,6
behagt,6
widrig,6
lag,6
künftig,6
wild,6
welchen,6
leere,6
meeres,6
just,6
schlägt,6
furcht,6
unverdrossen,6
schauer,6
empfangen,6
entzwei,6
deines,6
lustigen,6
weisen,6
küssen,6
sinken,6
umgeben,6
erden,6
preisen,6
körper,6
geworden,6
phöbus,6
eilet,6
ruft,6
stellt,6
gottes,6
dingen,6
wurzeln,6
vereint,6
wage,6
schiff,6
spaten,6
steh,6
fürst,6
stamm,6
tanzt,6
freudig,6
tu,6
höhlen,6
schlaf,6
hände,6
eigen,6
rosen,6
treibt,6
stark,6
drauf,6
voran,6
christ,6
klugen,6
geschrieben,6
anfang,6
höhle,6
edler,6
laube,6
rätsel,6
liebende,6
bist's,6
gedanken,6
blitzt,6
pfaffen,6
glühend,6
heiter,6
floh,6
nackt,6
greift,6
wüsten,6
irgend,6
hell,6
gegeben,6
ahnet,6
gewölbe,6
darum,6
gewähren,6
gäste,6
ernsten,6
bergen,6
vergnügen,6
keinem,6
mauer,6
langen,6
sieben,6
heilige,6
lernen,6
saft,6
mäßig,6
schreiten,6
kirche,6
rollen,6
stumm,6
zarten,6
gnug,6
geschehen,6
sichern,6
binden,6
walten,6
dorthin,6
bogen,6
brauchen,6
völker,6
verschwindet,6
herzlich,6
solches,6
dreifach,6
erblickt,6
trinkt,6
verbirgt,6
flämmchen,6
sand,6
heiß,6
neuem,6
glaubst,6
prangt,6
dessen,6
innre,6
pferde,6
freier,6
frech,6
tisch,6
schwebet,6
stroh,6
grün,6
verstehn,6
grüne,6
unmöglich,6
leichte,6
ward's,5
seen,5
werke,5
legt,5
wechselnd,5
herd,5
gras,5
raub,5
springen,5
bringst,5
geselle,5
entzündet,5
heiliger,5
drachen,5
trinken,5
tät,5
leb,5
wiesen,5
behende,5
hegt,5
indem,5
beil,5
tropfen,5
rauscht,5
gemeint,5
füße,5
mancherlei,5
höher,5
tempel,5
höhn,5
gesellen,5
jammert,5
adler,5
retten,5
erhalten,5
zuhauf,5
äste,5
schaun,5
verschlingen,5
mild,5
märchen,5
fehlen,5
gesund,5
trefflich,5
weben,5
zauberei,5
antlitz,5
hat's,5
spürt,5
gewaltsam,5
weiber,5
zieh,5
kanzler,5
hieß,5
erquickt,5
dacht,5
holz,5
ziemlich,5
kleid,5
geistes,5
fröhlich,5
versuch,5
buchten,5
setzen,5
spät,5
wohnung,5
länder,5
sprüht,5
mitten,5
sausen,5
nähe,5
schlund,5
gäb,5
kronen,5
schaffnerin,5
magie,5
grau,5
ahnen,5
wiese,5
lob,5
sähst,5
bewußt,5
streiten,5
strömt,5
gefangen,5
eilt,5
tau,5
glühen,5
sohlen,5
schickt,5
blickst,5
glücken,5
eurotas,5
satt,5
helfen,5
emsig,5
bereiten,5
verleiht,5
verführt,5
sinkt,5
abend,5
wirt,5
gebärde,5
gebührt,5
andere,5
betrügen,5
denen,5
stellen,5
heben,5
abenteuer,5
quellen,5
sieht's,5
gönn,5
ringsum,5
reise,5
reichtum,5
tüchtig,5
bin's,5
klaren,5
bock,5
kluge,5
stich,5
schwere,5
verdrießen,5
augenblicke,5
laufen,5
schmach,5
wahrhaftig,5
magd,5
gefunden,5
sturm,5
neige,5
läuft,5
neigung,5
graut,5
schiffe,5
staub,5
entfaltet,5
raubt,5
rieseln,5
erkannt,5
gewölb,5
rührt,5
adern,5
beine,5
nützen,5
frommt,5
gekommen,5
naht,5
genannt,5
schicksal,5
leuchte,5
einander,5
fangen,5
helenen,5
